review_date,rating,helpful_vote,review_title,review_body
July 15 2018,5.0,2082,foam issue resolved,my first 4 cups with this brewer were frustrating... 3 cups of steamed milk (no foam) and 1 cup of cold milk (no foam). i felt like i had tried everything... skim milk  almond milk  whole milk... latte setting  cappuccino setting. i was ready to put the thing back in the box and return it because the cost was too high if all it was going to do was make a single serve coffee. my last ditch effort paid off though! i wondered  why did they give me this lid for the frother? maybe it serves a purpose in the process. so i used 2% promised land milk on the cappuccino setting with the lid on the frother. success! it wasn’t just a little foam or thin either. there was a lot of foam and very thick. so  if you’re having issues with foam and you haven’t used the lid  try it! for some reason  it makes all the difference.
July 8 2018,1.0,1568,update.,i am updating my review from 5 stars to 1. used to love this maker until today. it died after only seven months of use.it turns on tries to pump then power turns off.  i tried to unplug to reset. still shuts down. i make 3 cups a day. this machine should last more than 7 months.
August 2 2018,4.0,676,great coffee  latte and cappuccino  but trips gfi circuit breakers,this machine is a great combination for those coffee / cappuccino lovers who want fast  convenient and reliable.  there is one alert  however to plug the machine into its own circuit.  the reason is that it pulls substantial amps and will trip gfi circuit breakers. from my experience  it seems to occur when the auto off engages.  i spoke with keurig whose engineers agreed that it will likely trip your circuit breaker.  you can disable the auto off per the user guide  but i am just turning the machine off after each use.  not as convenient  but a small sacrifice for great coffee  lattes and cappuccinos.
August 5 2018,1.0,659,electrical fault with multiple units,i wish this wasn’t the review i’m writing because i’ve loved my older keurig unit i was planning on replacing  however  after two of these coffee machines  we’ve determined there’s an electrical fault in the units that trip the breakers. i’m not talking about just on gfci/gfi outlets. any outlet in the house gets tripped. super frustrating. beautiful machine  not so great on the function at the moment. i’ll check back once the unit has been proofed.
July 31 2018,5.0,534,but the "strong" option on the machine gives me the next best thing with a dark or espresso roast,i did a bunch of research to find a k-cup compatible machine that also makes lattes/cappuccinos  while offering an "espresso" option.  i know that's a lot  but that's what i wanted! :)  as far an i can see  there is nothing that compares with this machine.  true  it does not make a "legit" espresso  but the "strong" option on the machine gives me the next best thing with a dark or espresso roast.  (the "strong" option can also be used to make a stronger brew of regular coffee.)  the milk frother is wonderful.  my mother is very picky about her latte foam and she was amazed at how good it is. so i bought her this machine for her birthday.  it does all this and it makes lattes/capps in keurig time.  i researched a few other machines that offered similar options  but they brewed coffee at a glacial pace  and i don't have that kind of time to wait in the morning. finally  it is super easy to use (which is also why i bought it for my mom)  and i like that because i'm easily confused before my first cuppa in the morning.  now  i will say that i've only had the machine for about two weeks  so i can't speak to it's longevity.  fingers crossed for that. cheers!
August 28 2018,2.0,407,was awesome for one week and then stopped working,purchased this item on a tuesday. it arrived on a thursday. everything was awesome and then exactly one week from date of purchase it stopped working. it powers on and then instead of brewing it just shuts itself off. i called keurig customer serive  we rebooted it  disabled the auto off feature  tried all sorts of troubleshooting and ultimately they directed me back to amazon. so a replacement is on its way and hopefully this new one doesn't stop working after only a week.for the time that it worked it created perfectly frothed milk for both hot and cold drinks and we brewed coffee with no issue. i am really hoping i just received a "lemon" this first time and it isn't an issue with all of the units.
July 9 2018,5.0,484,makes yummy stuff from chai.  easy to use and it offers lots of variety.  easy to clean.  smart design.,we resisted the k-cup trend for a long time  but the features of this machine won us over.  we are stupidly happy to make this machine our first keurig.• out of the box  it sets up incredibly easy.• install the filter to the water vessel  add water and you're good to go.• you can use any k-cup in this machine.• selecting "coffee"  you are offered four brewing volumes to choose from.  6  8  10 and 12 ounces.• you can also select latte/cappuccino  which results in a strong shot from your pod of choice.• the heated frother is impressive.  i can't believe what it does to 2% lactaid!• brewing times are very efficient and clean-up is very simple.• the water reservoir is easy to handle  refill and reinstall.• it's not overly noisy.• it has a larger footprint than our classic brewer but having the heated frother is worth it.• the design is smartly efficient and very good looking.added 7/21/18:i've added a picture showing the results of frothing a single latte serving of 2% lactaid.  i think you can see the line between the froth and the liquid about half way.  it's amazing.  really  the frother is the point in this model and it makes all kinds of things possible.we purchased this variety pack and recommend it highly as the perfect way to sample a wide variety of the cups that are popular here on amazon.
August 13 2018,5.0,311,just what i needed,this is just what i needed! i only drink a cup of coffee a day - it’s usually a latte or mocha. i got the my k cup universal filter  i use my favorite starbucks coffee and i get 2 espresso shots per use. the milk foamer is perfect - i’ve used half/half  heavy whipping cream  and almond milk - so far no issues with that. i get nice foam with all 3. totally worth what i paid for it - in the long run i will save money and this machine will have paid for itself!
September 16 2018,5.0,280,this thing is amazing!,my darling bride and i lived in italy for two years (i know  rough life) and really became connoisseurs of fine café. while the k-cafe is not "real" espresso  it's a phenomenal substitute.the frother is astonishing! i'm still not entirely sure how that little booger works: but within a minute  half & half in a room temperature frothing mug is the consistency of shaving cream. just fill it to the appropriate line  put the lid on and hit the button. done. start that  get to the coffee side and everything will be done at about the same time.there's a setting for coffee or latte/capo. by selecting the latte/capo button  the machine automatically selects "strong" and "shot". it knows what you want and sets it up for you. for cappuccino  i use two shots of black rifle ak espresso or their death punch. and for a keurig  this is as close to the real deal as you're going to get without an authentic  steam-injected machine. and i might be awake for three days!for regular coffee  you will want to experiment with the various sizes and strengths to get the perfect cup for you. the darling bride fancies two pods of french roast  8 ounces each  for her favorite morning jump start. i'm not a big coffee fan anymore (i sort of coffeed out in the navy)  but when i want a good hearty espresso or cappuccino  it doesn't get much better - or easier - than this. we're glad we retired our old keurig and got this  and we highly recommend it without reservation!
October 12 2018,3.0,148,love machine has a design weakness though,we have had our machine for one week and love it!  the frother works very well and makes lots of creamy froth.  there is one weakness in the machine. the handle on the water tank is held on by a small solid plastic pin.  the first time we filled the reservoir with water and lifted it by the handle the pin snapped and the handle broke. we paid keurig $29.95 for a replacement.  we could have avoided the fee by returning the item to amazon but frankly it would have cost us more in time than the cost of a replacement water bin.  we were really disappointed that keurig required us to pay for a replacement when the machine was new.  we hope the designers will fix the handle design in the next generation of the machine.
