review_date,rating,helpful_vote,review_title,review_body
April 20 2016,5.0,6020,tips that work!  from an average person  not a barista.,i'll give tips after a little background info  what wasn't right and what customer service said to do  that worked!first off my background.  i am not  nor have i every been a barista.  i am an average person who likes mochas from the coffee shop  but i live 80 miles from town  so i don't get them very often and wanted to try making them at home.  this is my first espresso machine.  i read a lot of blogs and watched online videos from real baristas giving tips how to make good espresso drinks at home before purchasing this.  i got this thing and things didn't taste right to me  bitter.  so i did more research and figured out the problem  it wasn't heating up well.  i checked temperature and it was only getting to 157*f on average (too cold) and took 14-15 seconds to make one shot (too fast).  not what the online advice says you need.  online advice says 170-180*f and 27-30 seconds is about right.  so i called mr coffee for help before i sent it back to amazon.  glad i did.the call: in short  customer service told me to run a cleaning cycle per directions from page 16 in the user manual.  which is 1/2 tank of white vinegar  hit the button for double shot.  repeat as many times as you need.  also run a cleaning cycle through the milk dispenser.  my thought was  "what the heck  its a new machine!  i did the priming as directed before use  how can it be dirty?"  but i had to give it a try or send it back.  well i'll be go to heck  it worked!while directions said you only need to run it few times.  i had the time  so i ran the whole 1/2 tank white vinegar through (double shot at at a time) since i has to toss the vinegar anyway  so why not really clean it eh?  anyway  after a couple times running the double shot espresso button the temperature went from consistent 157*f to 175-182*f.  wahoo!  it seemed to matter how long i let it warm up between shots.  running two times consecutively got the 175-177*  which is just what you want.  letting it sit and warm up a few minutes before runs got it 180-184*  which is getting a little too hot.  btw  i was using a good quality quick  calibrated thermometer that i use for caramel making  which is a very exacting process to do right.  so i figured it could accurately measure the espresso before it cooled from air temperature  which by the way is mere seconds i found out.note:  the higher temperature is not for drinking comfort (how hot you like it) it is what the espresso needs to properly extract and not be bitter.  you can let it sit a few minutes if you don't like it that hot  personally i don't want a burned tongue  so i wait a little.  coming out of the machine perfect drinking temperature is not a good thing.second note:  running the vinegar through is not descaling  it is cleaning.  descaling is something else you do  read the manual on how.  the vinegar clean is not priming  it is cleaning.  don't know why you need to clean the new machine in addition to priming  but do it anyway.  make sure to rinse the reservoir out  then run some plain water through to remove the vinegar afterwards  do it as many times as it takes to get the smell out  mine took a full reservoir.  honestly though it's faster shipping it back and waiting for a replacement machine because it doesn't get hot enough  this works.when i first got it  as i said it was taking 14-15 seconds to run the shots through.  during the cleaning process they got longer and longer.  now that it's clean  it's about 28-30 seconds.  again  just what you want.  i use my cell phone stop watch feature to be accurate.in summary  based on what i've read and how i got it to work well  at least for "normal" person standards.  this a good machine.  here's my tips to get it working right:1.  learn to grind grounds well.  do not buy pre-ground  buy beans and grind them yourself.  it has to do with when the oil is release one how well it works.  if you are going to the trouble to use a machine like this (rather than just normal a coffee machine) you can go to the effort to grind as well  it's just part of the process.you can use the hand held cone burr grinders for the most accurate fine ground.  or you can spend a bundle on an electric burr grinder.  from what i read  you really do need to get a good one if you go electric.  in fact that is almost more important than the machine they say.  inconsistent size of grounds will yield inconsistent shots.  too fine (turkish grind  which is like flour) and it clogs the filter making the machine unable to push all the water through.  too course (regular coffee machine grind) and the water goes through too fast making it bitter.  espresso grind has to be the consistency of table salt.i'm cheap  so using the hand grinder does work and i advise it for other cheap people.  however   in the morning i am cranky and impatient  i'm also lazy  so i've ordered a couple different electric burr grinders to see if that works as well.  i plan to return which ever (or both) that don't grind as the espresso needs (good ol amazon prime and their return policies).  no  i did not take the online baristas advice and buy a $200 burr grinder (i am cheap after all)  but i did spend about $50 on a burr grinder and $20 on a blade style.  will update when i have decided what works or not  which i kept or if i end up just doing the hand grind.2.  learn how full to fill the cup.  at least to the top of the rim  or a little higher.  you want the end result about 1/8-1/4" from the top.  the amount in the cup does matter.3.  learn how to pack your grounds to 30lbs of pressure.  how to do that  put your bathroom scale on the counter.  use your tamper to push until you get the feel of 30lbs pressure.  repeat several times until you can push it pretty accurately.  this is very important.  also  but a metal tamper  the plastic one isn't sturdy enough for 30 lbs pressure  it bents and packs unevenly.  you can get metal tampers cheap  it's worth it.4.  before you make your cup each morning  warm the machine as directions indicate  but also run a shot of plain water through first.  the second time through will be hotter  and it only takes 30 seconds.5.  even though it's a new machine  and you did the priming as the manual says  run 1/2 tank of white vinegar through it (directions on page 16 of manual) and it will make a tremendous difference.  don't argue  just do it.6.  you can open the lid and fill the reservoir with it on the machine with a pitcher if taking it on and off is too hard.note:  i did not receive this at a discount in exchange for an honest review.  this is a good machine for the average espresso based specialty coffee drinker.  i gave it a full 5 stars because it's pretty idiot proof (i'm not the most mechanical person) and it makes mochas that are pretty darn good in my average persons opinion.  i have no idea what a real coffee expert would say  and really  shouldn't they have a professional machine anyway?  [...]
October 3 2017,3.0,1141,dangerous design flaw drops metal screw into coffee,i love my mr coffee cafe barista. it makes great espresso  cappuccino  latte  etc.however  there is a dangerous design flaw that needs to be fixed asap. there is a tiny wood screw holding the 3 pieces of the portafilter together. this tiny wood screw works its way out of the plastic piece and falls into your coffee!i discovered this when i poured a shot of espresso into my new $215 nutri ninja auto-iq blender to make a bulletproof coffee. the tiny screw tore up the metal blades before i realized what was happening and turned it off. i guess i am lucky because ordinarily i would have just gulped the shot and the screw would have ended up somewhere in my digestive system.when i fished the screw out i couldn't imagine where it had come from. i saw the tiny hole in the bottom of the portafilter but i just could not believe that mr coffee was using a wood screw into soft plastic to hold the portafilter together! especially when  as was bound to happen  if it worked its way out  it would end up in the coffee! but later when i was cleaning the portafilter i saw that it came apart into 3 pieces and it had never come apart like that before. i had saved the little screw and i saw that  incredibly enough  this was what had been holding it together!i have included pictures showing the pieces of the portafilter and the tiny screw that is supposed to hold all it together. the translucent thing is a seal between the other 2 parts. the red arrows point to the places where the screw goes.mr coffee needs to fix this issue and provide a free replacement portafilter to everyone who owns a cafe barista.if you own or buy a cafe barista i urge you to be proactive and remove the little screw before it works its way out on its own and you end up drinking it. the portafilter leaks and drips without the screw but that's better than having metal pieces in your coffee.
September 26 2017,1.0,589,worked amazingly well...for two months,so i'm really sad to write this review. if you had asked me for a review during the first month of use (3 double shots brewed daily) i would have rated this machine 5 stars but after less than two months of use this machine will no longer brew espresso.  the pump starts to sound like it's working and then goes quiet when it starts to "brew" and nothing comes out. prior to this issue the machine made the sound the entire time the espresso was brewing. i followed the manufacturers instructions to ensure the porta filter was not clogged. i've let vinegar sit and ran vinegar through the unit a few times to "delime" it as mr. coffee suggested in their response email to my complaint with no success. i've wasted a ton of espresso trying the unit again after each unsuccessful "fix". there is no reason for an espresso machine (for whatever reason) to stop working in two months. i'll update this review after i have time to sit on the phone with mr. coffee as they walk me through more "fixes" for a two month old machine. can you tell i'm not pleased?
June 13 2017,4.0,321,amazing convenience - great caffe!,while shopping for an espresso machine  i went back and forth on this machine and a similarly priced delonghi. i came very close to choosing the delonghi  but what pushed me to the mr. coffee was my intended use.  i wanted something that was very automated  while still allowing the freedom to use my own ground  not pods.my out of the box experience was that the item was simple to unpack and prep for use.tip: this ships in it's product box  so if you want extra protection or this is a gift  check off the "ship in an amazon box" where offered.  after setting up the maker  washing it's compartments etc. i was ready to prime it.  this took just a few minutes.the unit comes with all you need - just add electricity  water  milk  and coffee.  it includes a water tank  milk tank  two filers (single and double)  a porta-filter and combination scoop/tamper.  it has a 26" cord and is 1 040 watts.  it is advertised as 15 bars.the unit heats up quickly and is easy to use.  the advertised drink sizes are pretty accurate  so choose the right glassware!  you can also make custom sizes by overriding the espresso button.tip: consider buying another filter so you can prep two or three filters with coffee and make several drinks faster when serving a small group.the drinks you can make are:* espresso:  single (1.25 ounces) double (2.5 ounces)* cappuccino:  single (6 ounces) double (10 ounces)* latte:  single (12 ounces) double (15 ounces)tip:as far a tip on glasses  i ended up buying:  * bormioli rocco easy bar espresso glasses - these are too small for a double espresso.  they claim they are 3.5 ounces but actually measure out to be 2.5 ounces filled to the brim. * bormioli  rocco oslo cappuccino cup - excellent glass and at 7.5 ounces easily fits a single cappuccino and allows for extra froth. * anchor hocking glass mugs - about 16 ounces and great for lattes and the double cappuccino.the mr. coffee heats quickly  and each set of lights pulsates until at a ready temperature.the entire setup is simple to use  add water  add milk to the froth container  add your coffee and you are ready to go.my lone complaint about this product is the porta-filter.  i find mine requires an abnormal amount of strength to lock it into position.  i am not overfilling with coffee  and even tried it with empty filters inserted in the porta-filter- same problem.  i actually ordered a replacement machine but had the same issue.other than that quirk  it is really a great machine.  it makes excellent drinks  and with minimal effort on your part.  you can customize your froth simply by using the cappuccino button override.  after you are done making drinks  clean up is easy.  you can store your froth container of milk for later use in your fridge.  to clean up  just set the froth dial to 'clean' then hold down the latte button to override drinks and put the machine in "clean" mode.basically  outside of the on-off button on the side  you do everything with three buttons (espresso  cappuccino  and latte). press once for a single drink  twice for a double  and hold down the buttons to override (custom drink size  extra froth  and clean).there are little tray areas you can pull out or remove  depending on your glass sizes.  you can also fit the smaller filter in one of these tray compartments when not in use.  do not leave the porta-filter attached to the machine when not in use  as this may add wear to the filter assembly.i would absolutely recommend this machine.
March 16 2018,3.0,191,decent quality expresso  poor milk froth,i've had a semiautomatic espresso maker/machine for the last five years. i've brewed about 4600 cups of espresso with it. with that said i have some idea of what a good espresso shot is about.first off  this machine requires a thorough cleaning before you use it. one other person recommend cleaning it with vinegar  and this seem to help.in order to produce a good espresso shot  you need to have the right amount of coffee  the right amount of pressure for tamping  and finally a length of time for brewing that is not too long or too short. get one of the variables wrong  and the quality suffers. lastly  a good-quality blend of coffee. i use a local roasting house  and coffee that's about $17 a pound. avoid the cheap supermarket stuff  and go to a local roaster.if you use the enclosed spoon you'll get somewhere around 11 or 12 g of coffee. most sources i've read recommend between 14 and 18 grams  so you'll want to use a rounded spoonful.  you'll also need about 30 pounds of pressure for tamping  and  the enclosed tamper they give you will bend under that kind of pressure  and will probably result in uneven compression. (hint--buy a steel tamper!). no professional uses a plastic tamper. if you get about 14 to 15 g of coffee in the porta filter   then brewing time is around 25 seconds   which is just about perfect.  this produces nice crema.  i preheat the machine on mine by running a double shot through the porta filter while empty  then wiping dry   and finally go on to making the cup of coffee.  if you follow these steps you can produce a pretty decent shot.as to the milk frothing mechanism   i think it's a joke.  i can make a wonderful froth  from about 4 ounces of milk  and  this uses way too much milk.  i want to taste coffee not milk.  i guess if you like lattes   that you may like the frothing part.  i use a standalone frother  and  find it a whole lot more economical and easier to clean.  by letting it sit for about 30 seconds i can get the perfect blend of milk and froth for cappuccinos. there's less control with the built in one mr. coffee uses. i can also say it's a pain to clean this built in one  and residual milk tends to build up on the plastic if you let it sit. again  i'm much happier using a standalone frother  and they are only about 30 bucks to buy.i also picked up the mr. coffee burr grinder  and it seems to produce a nice grind for this machine  and also seems consistent in its output. the two seem a nice match for one another.i think the week part of this whole system is the frothing. as an espresso maker  i think it does a fine job. quality is not quite as good as my semiautomatic machine was  but decent for the price. i paid about $147. price seems to go up and down a lot on amazon. currently it's $181. not sure i'd pay that much for it.time will tell just how good of a value this is  but pump seems to be quite capable  and i'm told you can order parts for it  which is more than i can say for a lot of the machines out there. packaging was outstanding. probably something we all take for granted these days until you get something that arrives in pieces. i admire a company who takes the time to engineer a good packaging system  and mr. coffee did it right. the machine comes well protected  even the plug receptacle end is protected. nice.overall i think it's a good machine  but again i would recommend a standalone frother for best results and economy.one other thing worth mentioning is you can get this machine for about $70 without the milk frother  and that's what i would do. i found after trying the frothing a few times my coffee taste like milk  and is on the warm side instead of hot side. i don't see any reason to pay for something that is really subpar  so again  if i had to do over i would just buy the standalone machine without frother.update: tried the milk frother a few more times  and it overflows a 12 oz. cup every time  and froth is pretty loose. foam should be dense. i now run a double shot of water through before i brew  and this helps with temp  but milk frothing is still sub-par imo. i think i will send back  and just get the $70 version. a stand alone frother works much better  and is consistent with nice dense foam/froth.
March 8 2017,5.0,586,i don't know how i managed without it.  read on for cup sizing details  cleaning  etc :),several days i spent reviewing 'all in one' espresso machines  and there's a lot to filter through (get it? ah my jokes are too corny anyhow).  after doing a heavy amount of research i was satisfied with this choice.  took me a few weeks to pull the trigger  but i couldn't be happier that i did.  i was addicted to kwik trip lattes  starbucks lattes  anyplace that has a latte you name it.  i'm quite positive this has already paid for itself by not having to go to all those places.but let's talk more about the thing!it's kind of big but it has its own dedicated spot in my kitchen.  it's nice enough to be left out and not have to store away in a cabinet.  what i really like about it is that it's pretty much an all in one system without the thousand dollars plus all in one cost.  i push one button and all the magic happens  and it's quite entertaining to watch the espresso cascade through the milk and create separate layers.  i also like that i can take the milk and store it in my fridge.  i've done some temperature tests and only noticed a 5-degree increase after making a double latte before i put it back in the fridge.  this is nice as you would think to be so close to all that heat it would be a much bigger temperature fluctuation.  just make sure you put the blasted spout up otherwise you'll have a fun time cleaning up a giant mess of milk.  i really wish there was some sort of sensor that assisted with this issue as i guess i'm stupider than i thought when it comes to lifting that lever.for anyone who wanted to know  it fits a full-sized pint glass underneath it if you remove the drip tray.  it is a tight fit as you will have to angle the pint glass to slide it in but i use pint glasses for my large lattes consistently.  the latte puts out almost double the amount of milk that the cappicino does.  i think all single servings should be able to fit in your regular sized coffee mug.another aspect i really like is the cleaning aspect.  just hold the top button for the coffee grind connector (w/e you call it) to get cleaned and hold the bottom button for the milk frother to get cleaned... that's pretty simple!  i did notice that the milk froth cleaner doesn't get all the milk out of the metal tube  but since it slides right off and is pretty easy to clean it's not that big of a deal to me.so ultimately how does this compare to all the places i regularly go to?  it's spot on.  sure it's not the sugar loaded 1500 calorie starbucks grade latte  but as far as the espresso taste goes it's very close.  i actually prefer not adding any sugar or other diabetes contributing nonsense half these latte makers add and find this is a much healthier option for me as well.if you enjoyed my review please like it.  cheers!
March 20 2019,5.0,95,delicious  foamy lattes with one button!,this little machine was a game-changer for me. i spent weeks researching espresso machines and chose this one for 1) ease of use/cleaning 2) price 3) latte focused. two months later  i have been consistently blown away on all three! for those who say it’s wears after some use  are you cleaning it properly? cleaning is super easy and i do it after each use and have had zero issues. you just turn the nob to “clean” and then hold down the latte button until the cleaning cycle begins. it self cleans with just one button and i have never had any issues. also make sure to keep the water up! as long as you’re following the cleaning directions  you should have no problems!i have tried it with both almond and regular milk and find that i get the best foam with 2% regular milk or califia’s almond barista milk in the blue box.i moved from a bustling neighborhood with lots of coffee shops and i was certain i would miss it...i don’t! this machine saves me money and time  and the lattes are easily as good as the ones i would buy.highly recommend!
September 4 2017,1.0,170,inconsistent and dangerous!,i bought the mr. coffee café bistro about eight months ago.  at first it was fun and worked fairly well  though very inconsistently.  i never knew just how much coffee it would give me.  without changing the amount of foam desired   i could run a large and get a super small amount  or run a small and get a mug that was overflowing   i used the machine on average once to twice a day following all directions for use and cleaning. the machine was never used to make multiple consecutive coffees.  two weeks ago  the coffee became much hotter than it had always been  and clear extremely hot water dripped constantly whether the machine was on or off!  based on my experience  the mr. coffee café bistro seems inconsistent at best and dangerous at worst! hope this is helpful.
January 16 2018,5.0,99,the results are worth a little effort,by the time i bought this espresso maker  i had already gone through many different coffee and espresso machines. a friend raved about the nespresso systems but i had used a keurig for a few years and was done with the whole pod system  which seems wasteful and expensive  plus it was hard to keep it clean from icky sludge that formed in the water dispenser. another friend raved about the breville but the cost of that was way over my budget. this mr. coffee machine had great reviews and the price was good  so i decided to give it a try.i've waited to write this review until i had some time to really get to know this machine and i can tell you i absolutely love it.the espresso  cappucino  and lattedrinks i've made have all been delicious. the espresso comes out dark and rich and even has that crema top to it when the shots are finished pouring. there are two options: a single or a double filter and i always use the double. for milk  i use almond or rice milk and the froth on the cappuccino is great! the bubbles aren't as fine and "creamy" as you would get from a professional machine at an espresso bar  but the results are still delicious and impressive. the machine dispenses the milk first  then adds the shots of espresso  so i sometimes stir it after it's done to totally mix the espresso (especially if you add sweetener). there is definitely an advantage to using the right grind for the coffee beans. be sure your beans are ground for espresso. i had used beans ground for pour over coffee and the espresso was watery.the machineif you are looking for a brew-and-run system  this isn't your machine. but the time and effort you spend is honestly not that big of a deal and the results are worth it. take a cappuccino  for instance. here's the process. first  fill the water container with water and place on the back of the machine. turn the machine on (it takes a few minutes to warm up). next  fill the milk container with your type of milk  place the top on  be sure the setting is set to "cappuccino"* and insert the unit into the machine. next  take the "porta-filter" and place a scoop of coffee into it  tamping down firmly with the tamper on the other end of the scoop. insert the filter into the machine. place a large cup under the filter (there's a pull out stand for a small cup but i rarely use that)  make sure the silver tube (dispensing the milk) is pointed into the cup (yes  i've forgotten that and dispensed milk all over the counter by accident)  and then press the cappuccino button twice (for a double). the machine goes to work  first dispensing the milk  then the espresso. you'll know it's working because it is loud.after you've enjoyed your cappuccino  there are a few things you need to do to "clean up" and be sure the machine is ready for the next time. first  remove the porta-filter and dump the used grounds (they go into my counter-top food scraps bin). rinse out the filter  and then place back on the machine and press the button for a single shot of espresso. this rinses out the espresso parts of the machine. i then remove the filter  take it apart under cool running water  and let it dry. for the milk container  turn the setting to "clean " place a cup under the metal tube  and press the "clean" button (it's the latte button  pressed and held for a few seconds until the "clean" function turns on).  now  the tube is clean and you can either place the container in the fridge (if there's milk left over) or rinse/wash and let it dry. does this sound like a lot? it doesn't take long and it just becomes part of the process. again  the results are worth it.*as you can see from above  after you've cleaned the milk container  you have to turn the knob back to cappuccino or latte. if you forget  you'll quickly realize that you are dispensing steamed water instead of steamed milk into your cup (plus  the cleaning sound is different than the frothy milk sound).cleaning the inside of the machine is an easy process (using vinegar) and the machine seems to stay much cleaner than the keurig machine i used to own.bottom line: so far  this machine has produced excellent results. takes a bit of effort but the results are worth it.
November 14 2019,5.0,43,impressive machine!,okay  so i just got this machine yesterday but so far i absolutely love it!!!i have been researching machines for weeks. and i have several saved but i wanted one now that wasn't super expensive. i also didn't want one that used pods because my last one did and putting the pod in was always hit or miss. the way the machine was set up the pod would drop down too far and not allow the panel to close  so i had to keep it held up with one finger inside the machine until the process was started. pain in the butt!!! plus  the espresso shots always came out too watery! so  this machine was on my saved list but it turned out to be the deal of the day yesterday  so i decided it was now or never and bought it. i also saved $50 since it was the deal of the day!!! yay!!!!!!!it was packed really well to protect from damage and i received it in perfect condition! the machine came with a scoop/tamper and a single and double shot interchangeable porta filter.first thing i did was read the instructions which were very clear and made set up super easy. i didn't realize that there were 2 separate pieces for the single shot and double shot espresso until i read the instructions either  so that was helpful. also  if you don't read the instructions  you might not realize that you have to move the steaming wand from the down position and aim it in the center of the cup. then you'd have a huge mess! it's a little hard to see the wand at first.i successfully made several kinds of drinks yesterday within 15 minutes of setting the machine up and plugging it in. i love when a company makes set up and instructions a breeze!!!things i love about this machine!!!first  it's very appealing to the eye. call me girly  i'm but i love the stainless panels and the lights around the buttons!there's a single and double for espresso shots  cappuccino's and latte's.if you hold the cappuccino button down for three seconds  it will bypass the cappuccino and just do milk and frothing only  which is perfect if you want to add vanilla chai tea mix but don't want a shot of espresso!!! by far my favorite feature!!!you can adjust the amount of froth with the knob on the front of the milk reservoir! genius!!! and it works really well!!! i'm talking gobs of froth for the froth lover!!!cleaning the frothing wand out is a breeze. you just adjust the frothing knob to the down position where it says clean. press and hold the latte button till it clicks and the pump starts then release the button and it runs hot water through so milk doesn't clog the wand!plus  the milk reservoir comes out and you can store it in the fridge so you don't have to dump the milk and waste it!!! again  genius!!!also  i only used bottled water on my last machine and i never had a problem with lime scale or hard water  so i will only use bottled water on this one as well.i also made some home made caramel whipped cream for a delicious topper!!!there's no grinder but that's not a big deal. i am using starbucks ground espresso roast and the result is a strong and perfect espresso shot!!! not watery like my last machine.*my advice  read the instructions. they will most likely teach you a few things you didn't realize you needed to know.so far i am super giddy over this machine!!!👍
