review_date,rating,helpful_vote,review_title,review_body
November 28 2018,1.0,768,it will happen to every owner eventually! read the manual!,this was an amazing anniversary gift until it broke months later!!! the machine entered into some sort of descaling mode! i have gone through the manual and descaled the machine  i have spent the money on the descaling chemical and still the machine won't work! the nespresso website is no help and now i no longer have my favorite thing about the morning!! i have spent hundreds of dollars on capsules so for this to happen after 10 months of use i am furious! terrible issue to have especially since it was working fine! but some sensor shuts it down!!
December 15 2017,5.0,304,fancy  espresso machine,this is my first nespresso vertuoline machine and i love it. i got it on sale for $113 on black friday with the milk frother.let's start with the ease of use of this espresso machine. you press the top coffee button and the machine warms up  the green light becomes steady and it's ready to brew. put in your favorite capsule and close the top lid and press the coffee button. did i mention the motorized capsule lid? the lid opens and closes itself with a touch of the lever and disposes the capsules into its bin on the back of the machine.milk frother is even easier to use. just pour the milk in and press the button. adding the froth of milk makes you feel like a real barista! you can totally make the same exact drinks as they make at starbucks for the fraction of the cost. and the drinks are super strong depending on which intensities you choose.i paired this machine with double-walled coffee/espresso cups also purchased on amazon. much better than your everyday ceramic cups so you can see what you're drinking and the art you just created in the cups. i also purchased the storage drawer holder for capsules that stores the capsules and machine on top (see pics)!this is like any other home appliance. you have to upkeep things like this. clean it. maintain it. if you don't do any of these things  things will eventually break. and for the people that gave this product 1 star  return it if it's broken?
March 6 2017,5.0,687,amazing tasting coffee but at a premium price,if you've never had coffee from a nespresso vertuo machine  you owe it to yourself to try it out. it is a whole level beyond keurig-type brewing.most coffee makers use some variation of pouring hot water over coffee grounds  from standard drip machines to the convenience of keurig machines. the first generation nespresso machine used the traditional espresso technique of pressurized water forced through the coffee grounds. while this produces superior coffee  it also is loud because of the pressurized pump required  and is also prone to mechanical failure. the new generation vertuo machines use a entirely new way of making coffee by putting the coffee pod in a miniature centrifuge and using that pressure to drive the hot water through the coffee instead of using hydraulic pressure. the result is fantastic-- a rich coffee with an amazing crema that is the equal or better to any you've ever tasted.the pros:  it gives a rich brewed crema to both espresso and regular coffee blends. it is super easy to use and quiet and actually is smaller than my keurig. it gives coffee that is the equal or better to starbucks  especially if you use a separate frother when you blend in milk or cream.the cons: expense.  the pods are only sold by nespresso  are limited in availability  and cost over a buck a piece. that's why i would really recommend to try before you buy if you can--- if you truly love great coffee or if you want to cut back on your starbucks habit but can't face just ordinary drip coffee  this nespresso could be your new best friend.
September 12 2018,4.0,163,love this delonghi espresso maker,i received this from amazon warehouse deals so i bought it at a discounted price for open box and it is amazing. the coffee is definitely delicious and coffee house quality. the only downside is the cost of the pods. however it beats  $4 a cup  at the local coffee shop. some of the flavors are just too strong for me. those two reasons are why i gave it 4 stars. my husband loves the espressos. he thinks this is the best machine ever!
August 3 2018,5.0,139,a great product  technically refined  very convenient  way ahead of the competition,while other brands of single serve coffee maker have none little to improve their technology nespresso has taken a quantum leap forward..-the machine is much quieter-one touch to warm up (fast) and brew-completely customizable cup volume from 2 through 14 oz  (a basic idea lost on caffitaly or starbucks)(btw i would not pay more for the alto 14 oz pods - the more intense regular sizes seem to stretch to 12 oz + and still give you a great cup.)-water tank you can grip in one hand  lift off  and refill easily-one touch powered mechanism to drop a pod in-used pod box you can lift out with one finger and empty- all the water ends up in your cup - none in the pod box  or anywhere else.- the coffee is pretty good too - $1.1 per cup - worth it for the convenience imhono tea capsules yet - hopefully soon
September 2 2018,2.0,114,flimsy plastic. not made to last. very disappointed.,i had a nespresso machine for 18 years. it finally guit. we didn’t need a fancy one so we chose this one. it is so cheaply made!  i can see why my original one lasted so long. the water container is really cheap plastic bi don’t expect this machine to last 3 years let alone 18 years. it’s easy to use i like the new way of expelling the capsules. i am afraid that if i dropped any part it would break. i don’t care if i can get replacements. i saw this model when i was in germany. it was not so cheaply made. not satisfied
December 10 2017,4.0,111,i purchased the nespresso vertuoplus and love it. my only complaint is the milk frothier ...,i purchased the nespresso vertuoplus and love it. my only complaint is the milk frothier is missing one of the whisks. since i’ve been using the machine and don’t want to deal with the hassle of returning it i’ll have to reach out to the seller to see if they will ship a whisk to me.i first tried nespresso at my friends and liked it but wanted a larger quantity than an espresso. i didn’t know that there are machines that brew larger quantities  8oz and 14oz.yeah it’s not as cheap as brewing a cup of coffee but i wasn’t doing that either. instead i was buying a cup every day at work for $2. so for me it’s cheaper.i have to say the coffee is much better tasting than keriug  not sure if i spelled that correctly  and starbucks.the machine is very easy to use. push up on the lever to open  the motorized lid opens  drops the spent pod at the same time  install the new pod  press down on the lever to close  and push the button at top to start.the milk frothier is extremely easy to use. pour in the milk to one of the two fill lines  close and press the button. since i only have the one whisk i’ve only filled it to the lower level and frothed hot milk for hot drinks. i haven’t used it yet  but if you press and hold the button for 2 seconds you can froth milk for cold drinks. hot the button flashes red and cold it flashes blue. pretty smart.if you are considering this machine  what are you waiting for?update 12/17/17:  the instructions are not the most detailed  but i did notice that the provided whisk can be converted by removing the spring. in the lid there is a spring storage bracket when you are using the whisk without the spring. therefore  the package came complete and i’ve upgraded my rating to 5 stars. the only reason i gave 4 stars is because i thought it was short one whisk.
June 16 2020,1.0,35,another leaky customer,my husband bought the nespresso vertuo plus for me for my birthday in december 2019. by june 2020 it's leaking with every use. he saw that a few of the older models sold on amazon had less than 4 star rating based on some durability issues  so he went with this version  which had a 4.5 star rating.i used it a few times a week  mostly on the weekends  until i started working from home in march due to covid-19. i loved the coffee and variety of pods available  but i am hugely disappointed in the quality of the machine.  given the volume of threads i found researching this issue - this is a systemic quality issue that has no "home" solution. after speaking with the customer service representative this morning  the only option is to send it in for repairs or replacement. it's fine for now  it's still under warranty  but i have no confidence that it will be usable long-term.
April 13 2019,4.0,42,fast and convenient coffee/espresso machine,the nespresso vertuoplus coffee and espresso maker by de'longhi is my 2nd nespresso machine.  i purchased it almost six months ago and it has worked well for me.the unit is much quieter than the nespresso pixie espresso maker i have and it heats up more quickly.  for early morning use the pixie is loud enough to wake up a light sleeper.  that is not a worry with the new machine.i like the option to make full size cups of coffee and the selection of pods that came with the machine was varied enough to help me find the flavors i enjoy best. i will keep using the pixie for espresso until the veturoline espresso sized pods find a lower price-per-cup.i do think the price per veturoline pod is high but that does not detract from the machine.i have read some reviews about a problem with scaling.  i only use distilled water in all of my coffee machines and although i have only had this machine for just over 5 months  i have used my 1st nespresso machine almost daily for over 2 years and i have not experienced any scaling issues with it.the nespresso vertuoplus coffee and espresso maker by de'longhi is a good machine and with a fair price.  it is easy to use and easy to clean and has a larger water reservoir than expected. if you are interested in trying the veturoline pods i recommend this machine.
September 13 2019,1.0,33,broke twice in first 6 months - would not buy again,bought full price in march  broke by july. the machine started leaking coffee out of the bottom. it is not even in daily use and was broke within weeks. after contacting nespresso for repair  it took a full week to get the padded repair box from to send it in for warranty covered repair and then another two weeks for it to come back  only to have the same problem happen again several weeks later. once again i am having to mail in this clearly defective product  rather then getting a replacement. i’m only getting it repaired at this point to use up the pods we have left and then will likely find another more reliable product.
April 29 2019,1.0,30,amazing coffee if it comes out,april 28  2019review of nespresso vertuoplus coffee and espresso maker by de'longhi with aeroccino  greyprosthe coffee tastes better than starbucks or anywhere that makes it.  it creates a frothy foam on the top of the coffee and really makes it an excellent cup.  this is about 10x better than kureg as far as taste.  initial setup was easy out of the box.  first cups were perfect and the machine made them without issue.consafter about 2 months we have run into a few problems.  the machine does not consistently work and continues to throw out the error code of "no water" or "water container empty" even when there is water in it.  see the video for proof.  after about 10-15 attempt it works and makes a cup.  luckily it doesn't reject the pod and it can be reused (even though it doesn't really even use it).  note this doesn't happen every time and usually it is the 2nd cup of the day that we end up fighting with the machine on.  the other major complaint i have about this machine is precisely the way it tells you the error code.  there is no display which code show a code.  in stead you have to watch the flashing light and count how many red or green lights flash and how long they stay eliminated.  then you have to use the manual to look up the red/green code.  why can't you just have a $2 display that shows the status of the machine...wow!  what century are we in...lets make the error code reading as complicated at we can that way the user has to guess at the actual problem.  come on nespresso!  even a $5 calculator has a digital display.  ok  back to the issue.  as you can see on the video there is water in the carafe yet the machine continue to through an error.  we are getting more and more frustrated by the cup.  i will leave the rating at 3 stars but only because the coffee is so damn good.... when it does create a cup full.update 5/11/2019ok.  now we are going down to 1-star (from 3).  the machine makes the first cup every morning just fine.  the 2nd cup never works.  the "refill water" light flashing comes on after you press the button to start the 2nd cup.  i called customer service at amazon and because we are over the 30-day window (actually 35) amazon won't take it back.  they patch me into nespresso hot-line and then nespresso wants to troubleshoot the problem  all over again.  after talking to two people at nespresso and arguing over what the red flashing light means and actually reading the manual to the nespresso person on the phone she finally agrees to "repair" the machine.  at first she wanted to only send an empty ups box so the machine could be sent to be "repaired by a technician".  she told me that process would take about 2-weeks.  i told her that was unacceptable and i needed coffee.  she reluctantly agreed to send a "loaner" machine that we could use while our machine is "being repaired".  after an hour with her on the phone i was ready to give up.  it was apparent she had a "protocol" that she had to follow in order to reduce the returns and get customers to give-up because their customer service process is too complicated or there is too much push-back from the representative.  i'm overall very disappointed with nespresso and wish i would have purchased the machine at the local target.  at-least then i could just take it back or buy another one and then take this one back.  nespresso you need to whole-heartedly stand behind your product for greater than 35 days and not give your customers the run-around.  think about how many people i'm going to tell about my experience with your product and the poor customer service.  also  add a digital display to the machine  it can't cost more than a free calculator display.  a real code to read instead of a flashing light to count flashes like morse code would really help your customers and your customer service representatives in troubleshooting the errors...duhh!
November 22 2018,5.0,39,need to revise my earlier review about leaking tank.,i was really looking forward to getting this. heard makes excellent coffee. however  the tank leaks horrible. my counter was soaked. i should have taken those reviews about leaking tank more seriously.i am revising my earlier review. the tank leak was my error for overfilling it to clean it.  when making coffee with normal amount of water  no leaks. and it does make a wonderful cup of coffee.
April 28 2019,5.0,18,5 months later and it's a dream,i waited to write this review after seeing some comments in other reviews that the machine enters a descaling mode and breaks about three months in.  well  i've had my machine since christmas (gift to myself) and i've had no such problem.  i've been enjoying my coffee ritual so much now that i also bought a milk frother  but not the nespresso branded one as that seems too expensive.  i love that i can make any coffee drink i desire. i love the different size pods  and how you can program each pod size to brew a certain volume of coffee.  my favorite pods are the alto pods  which is new with this machine.  and i love that i can feel good about having "pod coffee" again with their pod recycling program.now  about descaling.  last week  i descaled my machine for the first time and had no problems and the coffee is back to tasting like new.  i thought the machine would warn me when it needed to be descaled  but 5 months in i never got the warning and figured i better be proactive.  i've been using filtered water in the machine  so maybe that held off some of the buildup. i find coffee tastes better with filtered water anyway.but  the machine was getting noisier  and the coffee was starting to sputter when coming out of the spout  so i thought it might be time to descale.  so i used one of their descaling packs and followed the directions in my manual.  the machine did its thing and now i'm back to like new operation with less noise again and more flavor for about a week.  i wonder if perhaps the problems people had are because the machine's setting lets the buildup get too bad before prompting you to descale.last tip is nespresso has a wide range of coffee profiles  so i suggest trying sample packs (and always ordering your free 2-pack when ordering pods on the nespresso site) to find the right flavor profile for you.  i love this machine and love having my morning coffee now!
April 14 2019,1.0,24,water leaks,do not buy!!!! this machine is 3 days old. i have water leaking all over my kitchen counter. first time plugging it in  i was impressed by being able to brew a full cup of coffee and i also have a (pixie). my excitement washed away quickly because the machine started leaking everywhere. i thought that was odd. i cleaned up the mess but the machine continues to leak every time i use it. i will be calling amazon and nespresso today. this review will be updated after i find out if my machine will be replaced or fixed.
November 27 2018,1.0,26,leaks!,i should have listened to the other reviews - this water tank leaks!!  just as other reviewers said it would.
July 7 2020,1.0,8,started leaking after 1.2 years.  they want $125 to fix.,you have to ask yourself... do you feel lucky? it seems that the seals on some of these that fit the top of the coffee pod randomly go hard and crack letting the coffee escape as the pod is spun.  you'll know if you're one of the unlucky few if you start getting coffee down the back of the machine and all over your counter. if you're really unlucky like me  it will be just out of warranty and they'll want $125 to fix it or they'll give you a discount on a new one after accusing you of being the problem because you didn't clean the machine once a week.  who does that?.  in any case  neither is really an acceptable solution to what is definitely a design flaw.  my old tossimo worked for 11 years and i only switched to this machine because i couldn't find the pods for that one anywhere anymore.  so  my recommendation is to run in the other direction.  buy a different model  buy a keurig  buy a drip coffee maker... or if you're feeling lucky  roll the dice.  i wish you luck!update:  i liked the coffee enough that we rolled the dice and bought a new virtuoline next machine.  this machine is engineered much better.  they basically gave-up on trying to stop the system from leaking and just engineered the new machine to manage the leaks.  now  any leaking flows into a little cup under the spent pod storage.  so  even if the machine leaks  at least it won't get all over your counter like the virtuoplus machines do.  basically  in my mind  this is an admission that the virtuoplus machines have a major leak issue  and their refusal to acknowledge this or address it a few months past the warranty is poor business.  run away from this particular model.  buy a virtuonext.  you'll lose the motorized lid  but you won't miss it  and you'll save yourself a ton of mess and money when the machine inevitably starts leaking.
November 27 2018,5.0,16,love this bundle! incredible value!,so glad i persisted to try to find this holiday bundle. it’s a great machine and for the price  an incredible value! it makes a hot frothy cup of coffee and a rich espresso. the only thing that i dislike about nespresso in general in the lack of pod availability. they have to be ordered. making sure you always have coffee and espresso does require a little planning due to having to order. the frother that comes with this machine works great! i love being able to make myself a latte!
January 3 2018,1.0,39,save yourself from utter disappointment & hassle.,well  let's just say this was an epic failure of a holiday gift for the hubby.  it turned on  we started running the suggested cleaning cycle and then it stopped working.  and by stop working  i mean it left the lid open  water inside the machine  and never did anything else.  i contacted nespresso's customer service and was advised to send it back to amazon as it was a "defective machine."  i have no confidence in this brand of coffee maker...you would think that for over a hundred and fifty dollars for a coffee maker  it would make coffee. not in this case.  on the up side  amazon refunded my money and took the big hunk of junk back.  save for yourself hassle and frustration--do not buy ;)
January 16 2019,1.0,24,amazon is selling defective units,my vertuo plus didn’t work the first day i tried to use it. i called the nespresso helpdesk and they told me that amazon had a defective batch that they refused to return. don’t buy this junk.
